
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 21 July 2021]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","Social rented"
"Cornwall 024A","E01019052",17.8
"Cornwall 024B","E01019053",2.5
"Cornwall 024C","E01019054",4.7
"Cornwall 024D","E01019055",31.9
"Cornwall 025A","E01018786",4.2
"Cornwall 025B","E01018788",37.3
"Cornwall 025C","E01018790",25.1
"Cornwall 025D","E01018794",14.2
"Cornwall 026A","E01018789",3.0
"Cornwall 026B","E01018791",29.0
"Cornwall 026C","E01018792",4.7
"Cornwall 026D","E01018793",15.2
"Cornwall 027A","E01019035",5.1
"Cornwall 027B","E01019036",5.0
"Cornwall 027C","E01019037",14.4
"Cornwall 027D","E01019074",15.3
"Cornwall 027E","E01019075",5.8
"Cornwall 027F","E01019076",8.8
"Cornwall 028A","E01018759",8.4
"Cornwall 028B","E01018760",10.3
"Cornwall 028C","E01018761",17.0
"Cornwall 028D","E01018766",16.3
"Cornwall 028E","E01018774",22.7
"Cornwall 029A","E01018797",29.7
"Cornwall 029B","E01018798",9.6
"Cornwall 029C","E01018799",35.7
"Cornwall 029D","E01018800",2.6
"Cornwall 030A","E01019069",9.0
"Cornwall 030B","E01019070",11.1
"Cornwall 030C","E01019071",3.2
"Cornwall 030D","E01019072",19.0
"Cornwall 030E","E01019073",3.7
"Cornwall 031A","E01019056",48.7
"Cornwall 031B","E01019057",1.6
"Cornwall 031C","E01019058",2.7
"Cornwall 031D","E01019059",17.4
"Cornwall 032A","E01018815",7.4
"Cornwall 032B","E01018831",9.1
"Cornwall 032C","E01018832",2.7
"Cornwall 032D","E01018847",4.1
"Cornwall 033A","E01018833",6.9
"Cornwall 033B","E01018842",8.9
"Cornwall 033C","E01018843",1.7
"Cornwall 033D","E01018844",12.5
"Cornwall 034A","E01018780",18.5
"Cornwall 034B","E01018781",9.8
"Cornwall 034E","E01033294",6.7
"Cornwall 035A","E01019024",8.1
"Cornwall 035B","E01019025",2.6
"Cornwall 035C","E01019026",0.5
"Cornwall 035D","E01019027",13.4
"Cornwall 036A","E01019013",18.1
"Cornwall 036B","E01019014",8.8
"Cornwall 036C","E01019015",0.8
"Cornwall 036D","E01019016",6.2
"Cornwall 036E","E01019017",3.7
"Cornwall 037A","E01018762",4.9
"Cornwall 037B","E01018773",17.6
"Cornwall 037C","E01018775",1.1
"Cornwall 037D","E01018776",3.9
"Cornwall 038A","E01019032",0.7
"Cornwall 038B","E01019034",7.6
"Cornwall 038C","E01019045",4.5
"Cornwall 038D","E01019047",12.8
"Cornwall 039A","E01019033",35.4
"Cornwall 039B","E01019041",25.2
"Cornwall 039C","E01019042",14.3
"Cornwall 039D","E01019043",7.2
"Cornwall 039E","E01019044",4.7
"Cornwall 039F","E01019046",39.0
"Cornwall 040A","E01018825",4.9
"Cornwall 040B","E01018826",6.0
"Cornwall 040C","E01018851",18.6
"Cornwall 040D","E01018852",2.7
"Cornwall 041A","E01019038",4.4
"Cornwall 041B","E01019039",2.5
"Cornwall 041C","E01019040",7.5
"Cornwall 041D","E01019066",6.4
"Cornwall 041E","E01019067",3.7
"Cornwall 041F","E01019068",2.4
"Cornwall 042A","E01018823",7.9
"Cornwall 042B","E01018824",16.8
"Cornwall 042C","E01018853",19.0
"Cornwall 042D","E01018854",38.8
"Cornwall 043A","E01018819",11.0
"Cornwall 043B","E01018822",2.3
"Cornwall 043C","E01018855",9.9
"Cornwall 043D","E01018856",24.9
"Cornwall 043E","E01018857",38.5
"Cornwall 043F","E01018858",14.4
"Cornwall 044A","E01018807",8.8
"Cornwall 044B","E01018808",9.0
"Cornwall 044C","E01018809",27.3
"Cornwall 044D","E01018810",1.7
"Cornwall 045A","E01018889",0.5
"Cornwall 045B","E01018890",13.3
"Cornwall 045C","E01018891",2.2
"Cornwall 045D","E01018892",1.0
"Cornwall 045E","E01018893",28.3
"Cornwall 046A","E01018908",9.0
"Cornwall 046B","E01018909",2.2
"Cornwall 046C","E01018910",61.7
"Cornwall 046D","E01018911",26.6
"Cornwall 047A","E01018816",2.2
"Cornwall 047B","E01018817",2.0
"Cornwall 047C","E01018818",9.7
"Cornwall 047D","E01018820",9.1
"Cornwall 047E","E01018821",4.5
"Cornwall 048A","E01018845",11.7
"Cornwall 048B","E01018846",8.1
"Cornwall 048C","E01018848",2.0
"Cornwall 048D","E01018849",15.0
"Cornwall 048E","E01018850",13.7
"Cornwall 049A","E01018912",1.0
"Cornwall 049B","E01018913",5.3
"Cornwall 049C","E01018914",8.2
"Cornwall 049D","E01018915",2.2
"Cornwall 050A","E01018916",15.2
"Cornwall 050B","E01018917",0.7
"Cornwall 050C","E01018918",14.0
"Cornwall 050D","E01018919",4.6
"Cornwall 051A","E01018894",6.2
"Cornwall 051B","E01018895",2.5
"Cornwall 051C","E01018896",9.7
"Cornwall 051D","E01018897",11.5
"Cornwall 051E","E01018898",44.2
"Cornwall 052A","E01018865",8.8
"Cornwall 052B","E01018866",2.5
"Cornwall 052C","E01018867",17.5
"Cornwall 052D","E01018868",3.0
"Cornwall 053A","E01018874",15.3
"Cornwall 053B","E01018875",52.2
"Cornwall 053C","E01018876",3.5
"Cornwall 053D","E01018877",10.0
"Cornwall 053E","E01018878",4.4
"Cornwall 054A","E01019008",38.8
"Cornwall 054B","E01019009",31.2
"Cornwall 054C","E01019010",6.3
"Cornwall 054D","E01019011",2.2
"Cornwall 054E","E01019012",8.5
"Cornwall 055A","E01018869",12.3
"Cornwall 055B","E01018870",58.1
"Cornwall 055C","E01018871",1.4
"Cornwall 055D","E01018872",6.6
"Cornwall 055E","E01018873",16.8
"Cornwall 056A","E01018827",3.8
"Cornwall 056B","E01018828",11.8
"Cornwall 056C","E01018829",4.1
"Cornwall 056D","E01018830",8.5
"Cornwall 057A","E01018978",19.0
"Cornwall 057B","E01018981",6.0
"Cornwall 057C","E01018982",10.3
"Cornwall 057D","E01018983",2.5
"Cornwall 057E","E01018984",39.4
"Cornwall 058A","E01018985",2.1
"Cornwall 058B","E01018986",4.4
"Cornwall 058C","E01018987",0.5
"Cornwall 059A","E01018863",6.7
"Cornwall 059B","E01018864",2.6
"Cornwall 059C","E01018921",9.3
"Cornwall 059D","E01018922",2.0
"Cornwall 060A","E01018834",10.0
"Cornwall 060B","E01018835",11.8
"Cornwall 060C","E01018836",35.1
"Cornwall 060D","E01018837",10.7
"Cornwall 061A","E01018975",9.9
"Cornwall 061B","E01018979",11.3
"Cornwall 061C","E01018980",6.6
"Cornwall 061D","E01018990",16.4
"Cornwall 061E","E01019007",7.2
"Cornwall 062A","E01018838",33.3
"Cornwall 062B","E01018839",8.7
"Cornwall 062C","E01018840",10.9
"Cornwall 062D","E01018841",46.4
"Cornwall 062E","E01018860",48.7
"Cornwall 063A","E01018803",6.1
"Cornwall 063B","E01018804",4.9
"Cornwall 063C","E01018805",4.5
"Cornwall 063D","E01018806",7.3
"Cornwall 064A","E01018811",3.2
"Cornwall 064B","E01018812",25.9
"Cornwall 064C","E01018813",1.0
"Cornwall 064D","E01018814",3.5
"Cornwall 064E","E01018859",1.7
"Cornwall 065A","E01018988",6.6
"Cornwall 065B","E01018989",16.0
"Cornwall 065C","E01018991",11.9
"Cornwall 065D","E01019006",2.9
"Cornwall 066A","E01018879",6.4
"Cornwall 066B","E01018880",9.4
"Cornwall 066C","E01018899",9.4
"Cornwall 066D","E01018900",5.9
"Cornwall 066E","E01018901",5.7
"Cornwall 067A","E01018976",4.5
"Cornwall 067B","E01018977",39.3
"Cornwall 067C","E01018994",18.3
"Cornwall 067D","E01018996",12.4
"Cornwall 067E","E01018997",65.4
"Cornwall 068A","E01018995",38.1
"Cornwall 068B","E01018998",3.2
"Cornwall 068C","E01018999",22.8
"Cornwall 068D","E01019001",11.0
"Cornwall 069A","E01018992",1.1
"Cornwall 069B","E01018993",16.8
"Cornwall 069C","E01019005",16.1
"Cornwall 070A","E01019000",15.2
"Cornwall 070B","E01019002",4.0
"Cornwall 070C","E01019003",1.7
"Cornwall 070D","E01019004",26.1
"Cornwall 071A","E01018882",1.6
"Cornwall 071B","E01018883",1.5
"Cornwall 071C","E01018884",1.6
"Cornwall 071D","E01018885",12.4
"Cornwall 071E","E01018886",6.2
"Cornwall 071F","E01018887",15.2
"Cornwall 071G","E01018888",33.5
"Cornwall 072A","E01018861",5.4
"Cornwall 072B","E01018862",5.2
"Cornwall 072C","E01018905",8.2
"Cornwall 072D","E01018906",4.4
"Cornwall 072E","E01018907",25.8
"Cornwall 073A","E01018881",11.3
"Cornwall 073B","E01018902",11.7
"Cornwall 073C","E01018903",6.5
"Cornwall 073D","E01018904",11.6
"Cornwall 073E","E01018920",12.5



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

